image_path,label,image_id,lat,lng,split
train\DUAL\ed_0007_generic_lat4p642135_lonn74p063750_h328p6_d.jpg,DUAL,ed_0007_generic_lat4p642135_lonn74p063750_h328p6_d,4.642135150625912,-74.06374991831265,train
train\MAS\ed_0012_generic_lat4p636391_lonn74p064409_h121p5_d.jpg,MAS,ed_0012_generic_lat4p636391_lonn74p064409_h121p5_d,4.636390531776419,-74.06440949841473,train
train\PC\ed_0013_apartments_lat4p670937_lonn74p046928_h211p9_d.jpg,PC,ed_0013_apartments_lat4p670937_lonn74p046928_h211p9_d,4.670937348781708,-74.04692760516173,train
train\DUAL\ed_0015_apartments_lat4p678334_lonn74p056364_h287p7_d.jpg,DUAL,ed_0015_apartments_lat4p678334_lonn74p056364_h287p7_d,4.678333731568528,-74.05636418577754,train
train\PC\ed_0018_generic_lat4p659042_lonn74p050262_h37p7_d.jpg,PC,ed_0018_generic_lat4p659042_lonn74p050262_h37p7_d,4.6590420441225495,-74.05026192159774,train
train\PC\ed_0019_apartments_lat4p642465_lonn74p065008_h23p4_d.jpg,PC,ed_0019_apartments_lat4p642465_lonn74p065008_h23p4_d,4.642464898029547,-74.06500819477654,train
train\PC\ed_0022_generic_lat4p685577_lonn74p055062_h4p8_d.jpg,PC,ed_0022_generic_lat4p685577_lonn74p055062_h4p8_d,4.685577149999999,-74.05506205,train
train\PC\ed_0026_house_lat4p631911_lonn74p060572_h132p0_d.jpg,PC,ed_0026_house_lat4p631911_lonn74p060572_h132p0_d,4.631910673326876,-74.06057214138588,train
train\PC\ed_0031_generic_lat4p676443_lonn74p044049_h28p6_d.jpg,PC,ed_0031_generic_lat4p676443_lonn74p044049_h28p6_d,4.67644339885097,-74.04404863266237,train
train\MAS\ed_0035_generic_lat4p652228_lonn74p058080_h308p7_d.jpg,MAS,ed_0035_generic_lat4p652228_lonn74p058080_h308p7_d,4.652227509953172,-74.05807961079863,train
train\PC\ed_0034_generic_lat4p671967_lonn74p058637_h16p3_d.jpg,PC,ed_0034_generic_lat4p671967_lonn74p058637_h16p3_d,4.67196715,-74.05863670000001,train
train\DUAL\ed_0036_generic_lat4p676598_lonn74p049956_h115p8_d.jpg,DUAL,ed_0036_generic_lat4p676598_lonn74p049956_h115p8_d,4.676598244649539,-74.04995586467423,train
train\MAS\ed_0038_generic_lat4p678976_lonn74p048398_h306p4_d.jpg,MAS,ed_0038_generic_lat4p678976_lonn74p048398_h306p4_d,4.678976413334294,-74.04839803135197,train
train\PC\ed_0039_generic_lat4p665635_lonn74p056265_h313p1_d.jpg,PC,ed_0039_generic_lat4p665635_lonn74p056265_h313p1_d,4.665635182769705,-74.05626464055229,train
train\DUAL\ed_0040_commercial_lat4p633626_lonn74p064059_h189p4_d.jpg,DUAL,ed_0040_commercial_lat4p633626_lonn74p064059_h189p4_d,4.633625547377282,-74.06405890085284,train
train\DUAL\ed_0042_generic_lat4p669273_lonn74p042857_h309p2_d.jpg,DUAL,ed_0042_generic_lat4p669273_lonn74p042857_h309p2_d,4.669273082665618,-74.04285709518022,train
train\DUAL\ed_0045_generic_lat4p657638_lonn74p055357_h124p4_d.jpg,DUAL,ed_0045_generic_lat4p657638_lonn74p055357_h124p4_d,4.6576381,-74.0553569,train
train\DUAL\ed_0044_retail_lat4p672182_lonn74p049482_h119p3_d.jpg,DUAL,ed_0044_retail_lat4p672182_lonn74p049482_h119p3_d,4.672182066225814,-74.04948230097904,train
train\MAS\ed_0047_commercial_lat4p668444_lonn74p058584_h113p9_d.jpg,MAS,ed_0047_commercial_lat4p668444_lonn74p058584_h113p9_d,4.668443630170047,-74.05858424416448,train
train\PC\ed_0048_generic_lat4p629630_lonn74p065301_h5p6_d.jpg,PC,ed_0048_generic_lat4p629630_lonn74p065301_h5p6_d,4.629630229334164,-74.0653008661321,train
train\PC\ed_0049_house_lat4p683537_lonn74p052790_h288p5_d.jpg,PC,ed_0049_house_lat4p683537_lonn74p052790_h288p5_d,4.68353675,-74.05279045,train
train\MAS\ed_0051_house_lat4p630315_lonn74p060939_h132p4_d.jpg,MAS,ed_0051_house_lat4p630315_lonn74p060939_h132p4_d,4.630314726789171,-74.0609386439183,train
train\MAS\ed_0058_fire_station_lat4p648012_lonn74p062450_h301p2_d.jpg,MAS,ed_0058_fire_station_lat4p648012_lonn74p062450_h301p2_d,4.648012139193421,-74.0624498912877,train
train\PC\ed_0061_generic_lat4p682159_lonn74p045059_h208p4_d.jpg,PC,ed_0061_generic_lat4p682159_lonn74p045059_h208p4_d,4.682158604179202,-74.0450586873361,train
train\DUAL\ed_0063_apartments_lat4p670874_lonn74p048176_h108p1_d.jpg,DUAL,ed_0063_apartments_lat4p670874_lonn74p048176_h108p1_d,4.670873559472856,-74.04817631736759,train
